Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume KRW
1552986000.0,2019-03-19 09-AM,BTCKRW,4464000,4470000,4459000,4470000,143.39,639988174.63
1552982400.0,2019-03-19 08-AM,BTCKRW,4464000,4466000,4458000,4464000,111.84,498946611.41
1552978800.0,2019-03-19 07-AM,BTCKRW,4461000,4467000,4458000,4464000,140.66,627649610.73
1552975200.0,2019-03-19 06-AM,BTCKRW,4458000,4470000,4458000,4461000,119.2,532093525.69
1552971600.0,2019-03-19 05-AM,BTCKRW,4450000,4463000,4449000,4458000,132.85,592215158.07
1552968000.0,2019-03-19 04-AM,BTCKRW,4460000,4463000,4447000,4450000,190.21,847272802.61
1552964400.0,2019-03-19 03-AM,BTCKRW,4461000,4466000,4456000,4460000,93.71,418117267.62
1552960800.0,2019-03-19 02-AM,BTCKRW,4455000,4470000,4455000,4461000,166.88,744865356.83
1552957200.0,2019-03-19 01-AM,BTCKRW,4469000,4470000,4455000,4455000,144.87,646381007.84
1552953600.0,2019-03-19 12-AM,BTCKRW,4455000,4470000,4450000,4469000,165.88,739820925.81
1552950000.0,2019-03-18 11-PM,BTCKRW,4457000,4460000,4451000,4455000,101.95,454201409.46
1552946400.0,2019-03-18 10-PM,BTCKRW,4458000,4461000,4455000,4457000,104.1,464127139.6
1552942800.0,2019-03-18 09-PM,BTCKRW,4457000,4461000,4450000,4458000,52.77,235291572.33
1552939200.0,2019-03-18 08-PM,BTCKRW,4450000,4460000,4446000,4457000,99.95,445042334.93
1552935600.0,2019-03-18 07-PM,BTCKRW,4446000,4450000,4441000,4450000,40.13,178337357.4
1552932000.0,2019-03-18 06-PM,BTCKRW,4447000,4449000,4440000,4446000,51.94,230882685.66
1552928400.0,2019-03-18 05-PM,BTCKRW,4448000,4449000,4440000,4447000,29.51,131170818.7
1552924800.0,2019-03-18 04-PM,BTCKRW,4447000,4451000,4443000,4448000,93.57,416135162.46
1552921200.0,2019-03-18 03-PM,BTCKRW,4446000,4450000,4442000,4447000,64.19,285407023.67
1552917600.0,2019-03-18 02-PM,BTCKRW,4450000,4452000,4438000,4446000,100.73,447622162.46
1552914000.0,2019-03-18 01-PM,BTCKRW,4449000,4452000,4441000,4450000,100.24,445746961.71
1552910400.0,2019-03-18 12-PM,BTCKRW,4439000,4457000,4435000,4449000,117.09,520744363.85
1552906800.0,2019-03-18 11-AM,BTCKRW,4430000,4445000,4423000,4439000,204.71,907797454.76
1552903200.0,2019-03-18 10-AM,BTCKRW,4432000,4435000,4422000,4430000,194.26,860331321.58
1552899600.0,2019-03-18 09-AM,BTCKRW,4447000,4456000,4427000,4432000,297.01,1317821921.96
1552896000.0,2019-03-18 08-AM,BTCKRW,4435000,4461000,4429000,4447000,409.77,1821242041.69
1552892400.0,2019-03-18 07-AM,BTCKRW,4442000,4443000,4427000,4435000,184.51,817758106.96
1552888800.0,2019-03-18 06-AM,BTCKRW,4424000,4446000,4422000,4442000,206.65,916549857.36
1552885200.0,2019-03-18 05-AM,BTCKRW,4453000,4460000,4420000,4424000,216.05,959980719.27
1552881600.0,2019-03-18 04-AM,BTCKRW,4457000,4468000,4451000,4453000,106.11,473233840.74
1552878000.0,2019-03-18 03-AM,BTCKRW,4468000,4478000,4457000,4457000,120.93,540206536.61
1552874400.0,2019-03-18 02-AM,BTCKRW,4463000,4474000,4461000,4468000,136.61,610178490.22
1552870800.0,2019-03-18 01-AM,BTCKRW,4448000,4484000,4446000,4463000,376.4,1681895149.57
1552867200.0,2019-03-18 12-AM,BTCKRW,4425000,4450000,4421000,4448000,183.96,816478501.46
1552863600.0,2019-03-17 11-PM,BTCKRW,4428000,4428000,4420000,4425000,79.54,351909841.74
1552860000.0,2019-03-17 10-PM,BTCKRW,4428000,4435000,4424000,4428000,54.07,239518183.18
1552856400.0,2019-03-17 09-PM,BTCKRW,4428000,4433000,4426000,4428000,39.62,175509771.03
1552852800.0,2019-03-17 08-PM,BTCKRW,4427000,4436000,4420000,4428000,65.34,289299020.22
1552849200.0,2019-03-17 07-PM,BTCKRW,4425000,4431000,4422000,4427000,56.12,248386396.99
1552845600.0,2019-03-17 06-PM,BTCKRW,4423000,4428000,4419000,4425000,14.97,66240969.53
1552842000.0,2019-03-17 05-PM,BTCKRW,4424000,4428000,4418000,4423000,22.25,98377562.84
1552838400.0,2019-03-17 04-PM,BTCKRW,4419000,4432000,4419000,4424000,63.0,278693914.86
1552834800.0,2019-03-17 03-PM,BTCKRW,4430000,4438000,4416000,4419000,125.72,555956645.07
1552831200.0,2019-03-17 02-PM,BTCKRW,4431000,4438000,4424000,4430000,141.4,626370806.44
1552827600.0,2019-03-17 01-PM,BTCKRW,4428000,4438000,4420000,4431000,155.55,688368474.21
1552824000.0,2019-03-17 12-PM,BTCKRW,4427000,4432000,4420000,4428000,112.52,497857573.6
1552820400.0,2019-03-17 11-AM,BTCKRW,4431000,4435000,4424000,4427000,87.12,385892984.54
1552816800.0,2019-03-17 10-AM,BTCKRW,4420000,4435000,4414000,4431000,127.96,566214930.34
1552813200.0,2019-03-17 09-AM,BTCKRW,4419000,4424000,4414000,4420000,68.89,304348316.14
1552809600.0,2019-03-17 08-AM,BTCKRW,4417000,4443000,4410000,4419000,165.75,732506988.98
1552806000.0,2019-03-17 07-AM,BTCKRW,4415000,4422000,4410000,4417000,156.11,689607390.89
1552802400.0,2019-03-17 06-AM,BTCKRW,4404000,4418000,4398000,4415000,134.5,592749905.54
1552798800.0,2019-03-17 05-AM,BTCKRW,4399000,4405000,4389000,4404000,177.45,780033194.64
1552795200.0,2019-03-17 04-AM,BTCKRW,4412000,4415000,4391000,4399000,216.87,954957068.88
1552791600.0,2019-03-17 03-AM,BTCKRW,4407000,4416000,4403000,4412000,144.24,635977940.68
1552788000.0,2019-03-17 02-AM,BTCKRW,4426000,4427000,4402000,4407000,170.53,752794507.9
1552784400.0,2019-03-17 01-AM,BTCKRW,4424000,4429000,4418000,4426000,145.81,644958751.14
1552780800.0,2019-03-17 12-AM,BTCKRW,4439000,4446000,4412000,4424000,251.42,1113832919.29
1552777200.0,2019-03-16 11-PM,BTCKRW,4438000,4454000,4433000,4439000,81.09,360129232.76
1552773600.0,2019-03-16 10-PM,BTCKRW,4437000,4443000,4428000,4438000,73.52,325981308.67
1552770000.0,2019-03-16 09-PM,BTCKRW,4433000,4443000,4427000,4437000,49.91,221376327.46
1552766400.0,2019-03-16 08-PM,BTCKRW,4433000,4435000,4426000,4433000,87.09,385816220.95
1552762800.0,2019-03-16 07-PM,BTCKRW,4445000,4446000,4430000,4433000,72.58,321977776.7
1552759200.0,2019-03-16 06-PM,BTCKRW,4444000,4450000,4438000,4445000,53.61,238227754.71
1552755600.0,2019-03-16 05-PM,BTCKRW,4437000,4447000,4433000,4444000,39.55,175587388.19
1552752000.0,2019-03-16 04-PM,BTCKRW,4431000,4444000,4427000,4437000,83.5,370488215.45
1552748400.0,2019-03-16 03-PM,BTCKRW,4439000,4444000,4428000,4431000,111.3,493513827.9
1552744800.0,2019-03-16 02-PM,BTCKRW,4432000,4444000,4429000,4439000,77.43,343552891.53
1552741200.0,2019-03-16 01-PM,BTCKRW,4428000,4440000,4427000,4432000,129.12,572412192.96
1552737600.0,2019-03-16 12-PM,BTCKRW,4461000,4463000,4420000,4428000,314.4,1395256477.97
1552734000.0,2019-03-16 11-AM,BTCKRW,4461000,4465000,4454000,4461000,89.11,397424529.09
1552730400.0,2019-03-16 10-AM,BTCKRW,4452000,4461000,4450000,4461000,128.34,571780664.5
1552726800.0,2019-03-16 09-AM,BTCKRW,4440000,4452000,4438000,4452000,120.32,534700806.88
1552723200.0,2019-03-16 08-AM,BTCKRW,4458000,4459000,4437000,4440000,136.39,606508999.79
1552719600.0,2019-03-16 07-AM,BTCKRW,4456000,4461000,4453000,4458000,109.62,488670010.03
1552716000.0,2019-03-16 06-AM,BTCKRW,4450000,4460000,4435000,4456000,223.32,992918785.88
1552712400.0,2019-03-16 05-AM,BTCKRW,4481000,4498000,4444000,4450000,440.95,1971426766.66
1552708800.0,2019-03-16 04-AM,BTCKRW,4428000,4490000,4416000,4481000,548.51,2446358252.78
1552705200.0,2019-03-16 03-AM,BTCKRW,4404000,4438000,4401000,4428000,355.47,1570406811.28
1552701600.0,2019-03-16 02-AM,BTCKRW,4391000,4406000,4391000,4404000,237.55,1045046780.28
1552698000.0,2019-03-16 01-AM,BTCKRW,4370000,4399000,4363000,4391000,257.95,1130130203.19
1552694400.0,2019-03-16 12-AM,BTCKRW,4360000,4377000,4355000,4370000,187.09,816680292.63
1552690800.0,2019-03-15 11-PM,BTCKRW,4360000,4368000,4357000,4360000,62.56,272878196.07
